family	group	method	percent_ref	avg_BS
family_138	group4 len = 60	Supermatrix-ME	0.796333333333333	0.531677083333333
family_139	group4 len = 60	Supermatrix-ME	0.880666666666667	0.479260416666667
family_140	group4 len = 60	Supermatrix-ME	0.890333333333333	0.68421875
family_141	group4 len = 60	Supermatrix-ME	0.67	0.599125
family_142	group4 len = 60	Supermatrix-ME	0.894666666666667	0.594947916666667
family_143	group4 len = 60	Supermatrix-ME	0.766666666666667	0.55590625
family_144	group4 len = 60	Supermatrix-ME	0.720666666666667	0.578875
family_145	group4 len = 60	Supermatrix-ME	0.848333333333333	0.597520833333333
family_146	group4 len = 60	Supermatrix-ME	0.933666666666667	0.641708333333333
family_147	group4 len = 60	Supermatrix-ME	0.768666666666667	0.558791666666667
family_148	group4 len = 60	Supermatrix-ME	0.638	0.500177083333333
family_149	group4 len = 60	Supermatrix-ME	0.813	0.695604166666667
family_150	group4 len = 60	Supermatrix-ME	0.79	0.5406875
family_151	group4 len = 60	Supermatrix-ME	0.519333333333333	0.438052083333333
family_152	group4 len = 60	Supermatrix-ME	0.819333333333333	0.627291666666667
family_153	group4 len = 60	Supermatrix-ME	0.812666666666667	0.617864583333333
family_154	group4 len = 60	Supermatrix-ME	0.918333333333333	0.518520833333333
family_155	group4 len = 60	Supermatrix-ME	0.881666666666667	0.6128125
family_156	group4 len = 60	Supermatrix-ME	0.729333333333333	0.600583333333333
family_157	group4 len = 60	Supermatrix-ME	0.76	0.640677083333333
family_158	group4 len = 60	Supermatrix-ME	0.917333333333333	0.684177083333333
family_159	group4 len = 60	Supermatrix-ME	0.673333333333333	0.558114583333333
family_160	group4 len = 60	Supermatrix-ME	0.771666666666667	0.685177083333333
family_161	group4 len = 60	Supermatrix-ME	0.877333333333333	0.523354166666667
family_162	group4 len = 60	Supermatrix-ME	0.859	0.682270833333333
family_163	group4 len = 60	Supermatrix-ME	0.874333333333333	0.60146875
family_164	group4 len = 60	Supermatrix-ME	0.764333333333333	0.591427083333333
family_165	group4 len = 60	Supermatrix-ME	0.653333333333333	0.4970625
family_166	group4 len = 60	Supermatrix-ME	0.808666666666667	0.632875
family_167	group4 len = 60	Supermatrix-ME	0.897	0.640520833333333
family_168	group4 len = 60	Supermatrix-ME	0.645333333333333	0.4295
family_169	group4 len = 60	Supermatrix-ME	0.929666666666667	0.695583333333333
family_170	group4 len = 60	Supermatrix-ME	0.819	0.507
family_171	group4 len = 60	Supermatrix-ME	0.502333333333333	0.5706875
family_172	group4 len = 60	Supermatrix-ME	0.872333333333333	0.705364583333333
family_173	group4 len = 60	Supermatrix-ME	0.821666666666667	0.59346875
family_174	group4 len = 60	Supermatrix-ME	0.690666666666667	0.519239583333333
family_175	group4 len = 60	Supermatrix-ME	0.663333333333333	0.591541666666667
family_176	group4 len = 60	Supermatrix-ME	0.732666666666667	0.601208333333333
family_177	group4 len = 60	Supermatrix-ME	0.845666666666667	0.615135416666667
family_178	group4 len = 60	Supermatrix-ME	0.754333333333333	0.565583333333333
family_179	group4 len = 60	Supermatrix-ME	0.538666666666667	0.436052083333333
family_180	group4 len = 60	Supermatrix-ME	0.8	0.510635416666667
family_181	group4 len = 60	Supermatrix-ME	0.771	0.546958333333333
family_182	group4 len = 60	Supermatrix-ME	0.766	0.537739583333333
family_183	group4 len = 60	Supermatrix-ME	0.781333333333333	0.505364583333333
family_184	group4 len = 60	Supermatrix-ME	0.509	0.359135416666667
family_185	group4 len = 60	Supermatrix-ME	0.735333333333333	0.527864583333333
family_186	group4 len = 60	Supermatrix-ME	0.837666666666667	0.52328125
family_187	group4 len = 60	Supermatrix-ME	0.837	0.702
family_188	group4 len = 60	Supermatrix-ME	0.681	0.589197916666667
family_189	group4 len = 60	Supermatrix-ME	0.882	0.642583333333333
family_190	group4 len = 60	Supermatrix-ME	0.578333333333333	0.39759375
family_191	group4 len = 60	Supermatrix-ME	0.706333333333333	0.443083333333333
family_192	group4 len = 60	Supermatrix-ME	0.866333333333333	0.662552083333333
family_193	group4 len = 60	Supermatrix-ME	0.835333333333333	0.670416666666667
family_194	group4 len = 60	Supermatrix-ME	0.843	0.6655
family_195	group4 len = 60	Supermatrix-ME	0.745	0.470458333333333
family_196	group4 len = 60	Supermatrix-ME	0.668333333333333	0.541385416666667
family_197	group4 len = 60	Supermatrix-ME	0.785	0.611833333333333
family_198	group4 len = 60	Supermatrix-ME	0.676	0.50196875
family_199	group4 len = 60	Supermatrix-ME	0.840666666666667	0.577895833333333
family_200	group4 len = 60	Supermatrix-ME	0.792	0.53696875
family_201	group3 len = 50	Supermatrix-ME	0.893666666666667	0.5493125
family_202	group3 len = 50	Supermatrix-ME	0.696	0.487260416666667
family_203	group3 len = 50	Supermatrix-ME	0.732333333333333	0.451947916666667
family_204	group3 len = 50	Supermatrix-ME	0.613666666666667	0.50334375
family_205	group3 len = 50	Supermatrix-ME	0.735666666666667	0.56446875
family_206	group3 len = 50	Supermatrix-ME	0.841333333333333	0.614322916666667
family_207	group3 len = 50	Supermatrix-ME	0.717666666666667	0.449895833333333
family_208	group3 len = 50	Supermatrix-ME	0.738666666666667	0.555364583333333
family_209	group3 len = 50	Supermatrix-ME	0.629	0.54934375
family_210	group3 len = 50	Supermatrix-ME	0.702333333333333	0.377916666666667
