family	group	method	percent_ref	avg_BS
family_78	group5 len = 82	Supermatrix-ML	0.984	0.784229166666667
family_79	group5 len = 82	Supermatrix-ML	0.876	0.62809375
family_80	group5 len = 82	Supermatrix-ML	0.786	0.583791666666667
family_81	group5 len = 82	Supermatrix-ML	0.918	0.609791666666667
family_82	group5 len = 82	Supermatrix-ML	0.679	0.5376875
family_83	group5 len = 82	Supermatrix-ML	0.78	0.635197916666667
family_84	group5 len = 82	Supermatrix-ML	0.917666666666667	0.742989583333333
family_85	group5 len = 82	Supermatrix-ML	0.759666666666667	0.674708333333333
family_86	group5 len = 82	Supermatrix-ML	0.879	0.6836875
family_87	group5 len = 82	Supermatrix-ML	0.894	0.66996875
family_88	group5 len = 82	Supermatrix-ML	0.883333333333333	0.678197916666667
family_89	group5 len = 82	Supermatrix-ML	0.901	0.753541666666667
family_90	group5 len = 82	Supermatrix-ML	0.858666666666667	0.562489583333333
family_91	group5 len = 82	Supermatrix-ML	0.900333333333333	0.704208333333333
family_92	group5 len = 82	Supermatrix-ML	0.881333333333333	0.802385416666667
family_93	group5 len = 82	Supermatrix-ML	0.928333333333333	0.78021875
family_94	group5 len = 82	Supermatrix-ML	0.830666666666667	0.724072916666667
family_95	group5 len = 82	Supermatrix-ML	0.844	0.5949375
family_96	group5 len = 82	Supermatrix-ML	0.935666666666667	0.616572916666667
family_97	group5 len = 82	Supermatrix-ML	0.990333333333333	0.847989583333333
family_98	group5 len = 82	Supermatrix-ML	0.868333333333333	0.5663125
family_99	group5 len = 82	Supermatrix-ML	0.891666666666667	0.701083333333333
family_100	group5 len = 82	Supermatrix-ML	0.821333333333333	0.715041666666667
family_101	group4 len = 60	Supermatrix-ML	0.704666666666667	0.653083333333333
family_102	group4 len = 60	Supermatrix-ML	0.784	0.586114583333333
family_103	group4 len = 60	Supermatrix-ML	0.731666666666667	0.610125
family_104	group4 len = 60	Supermatrix-ML	0.72	0.49984375
family_105	group4 len = 60	Supermatrix-ML	0.887	0.675385416666667
family_106	group4 len = 60	Supermatrix-ML	0.865666666666667	0.578239583333333
family_107	group4 len = 60	Supermatrix-ML	0.768333333333333	0.550416666666667
family_108	group4 len = 60	Supermatrix-ML	0.85	0.614677083333333
family_109	group4 len = 60	Supermatrix-ML	0.959	0.624104166666667
family_110	group4 len = 60	Supermatrix-ML	0.791	0.497291666666667
family_111	group4 len = 60	Supermatrix-ML	0.792666666666667	0.45675
family_112	group4 len = 60	Supermatrix-ML	0.738	0.630114583333333
family_113	group4 len = 60	Supermatrix-ML	0.782333333333333	0.598104166666667
family_114	group4 len = 60	Supermatrix-ML	0.877666666666667	0.548
family_115	group4 len = 60	Supermatrix-ML	0.782333333333333	0.649520833333333
family_116	group4 len = 60	Supermatrix-ML	0.965666666666667	0.68478125
family_117	group4 len = 60	Supermatrix-ML	0.675333333333333	0.628135416666667
family_118	group4 len = 60	Supermatrix-ML	0.808	0.533645833333333
family_119	group4 len = 60	Supermatrix-ML	0.744333333333333	0.576322916666667
family_120	group4 len = 60	Supermatrix-ML	0.299	0.541427083333333
family_121	group4 len = 60	Supermatrix-ML	0.780666666666667	0.597197916666667
family_122	group4 len = 60	Supermatrix-ML	0.941666666666667	0.634458333333333
family_123	group4 len = 60	Supermatrix-ML	0.939	0.6321875
family_124	group4 len = 60	Supermatrix-ML	0.905	0.601416666666667
family_125	group4 len = 60	Supermatrix-ML	0.841333333333333	0.48746875
family_126	group4 len = 60	Supermatrix-ML	0.856	0.627375
family_127	group4 len = 60	Supermatrix-ML	0.731333333333333	0.574979166666667
family_128	group4 len = 60	Supermatrix-ML	0.823666666666667	0.741291666666667
family_129	group4 len = 60	Supermatrix-ML	0.883666666666667	0.6125625
family_130	group4 len = 60	Supermatrix-ML	0.598666666666667	0.523625
family_131	group4 len = 60	Supermatrix-ML	0.717333333333333	0.427916666666667
family_132	group4 len = 60	Supermatrix-ML	0.950333333333333	0.538072916666667
family_133	group4 len = 60	Supermatrix-ML	0.651333333333333	0.52096875
family_134	group4 len = 60	Supermatrix-ML	0.729333333333333	0.588864583333333
family_135	group4 len = 60	Supermatrix-ML	0.742666666666667	0.596916666666667
family_136	group4 len = 60	Supermatrix-ML	0.778333333333333	0.523989583333333
family_137	group4 len = 60	Supermatrix-ML	0.961333333333333	0.666166666666667
family_138	group4 len = 60	Supermatrix-ML	0.822666666666667	0.58603125
family_139	group4 len = 60	Supermatrix-ML	0.900333333333333	0.581791666666667
family_140	group4 len = 60	Supermatrix-ML	0.812	0.700270833333333
family_141	group4 len = 60	Supermatrix-ML	0.752333333333333	0.591520833333333
family_142	group4 len = 60	Supermatrix-ML	0.801333333333333	0.606135416666667
family_143	group4 len = 60	Supermatrix-ML	0.795666666666667	0.640645833333333
family_144	group4 len = 60	Supermatrix-ML	0.823333333333333	0.62875
family_145	group4 len = 60	Supermatrix-ML	0.896333333333333	0.690604166666667
family_146	group4 len = 60	Supermatrix-ML	0.9	0.689979166666667
family_147	group4 len = 60	Supermatrix-ML	0.876666666666667	0.602291666666667
family_148	group4 len = 60	Supermatrix-ML	0.743666666666667	0.555447916666667
family_149	group4 len = 60	Supermatrix-ML	0.903	0.72634375
family_150	group4 len = 60	Supermatrix-ML	0.939666666666667	0.5655625
family_151	group4 len = 60	Supermatrix-ML	0.672666666666667	0.42196875
family_152	group4 len = 60	Supermatrix-ML	0.961666666666667	0.65846875
family_153	group4 len = 60	Supermatrix-ML	0.897666666666667	0.660802083333333
family_154	group4 len = 60	Supermatrix-ML	0.874333333333333	0.535583333333333
family_155	group4 len = 60	Supermatrix-ML	0.830333333333333	0.62334375
family_156	group4 len = 60	Supermatrix-ML	0.752333333333333	0.657885416666667
family_157	group4 len = 60	Supermatrix-ML	0.828333333333333	0.66878125
family_158	group4 len = 60	Supermatrix-ML	0.920666666666667	0.695260416666667
family_159	group4 len = 60	Supermatrix-ML	0.789666666666667	0.537520833333333
family_160	group4 len = 60	Supermatrix-ML	0.881	0.7406875
family_161	group4 len = 60	Supermatrix-ML	0.789333333333333	0.503479166666667
